,City,Country Code,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
370,guiratinga,br,-16.35,-53.76,68.79,65.0,0.0,3.71
371,calamar,co,1.96,-72.65,71.67,96.0,88.0,2.26
372,goroka,pg,-6.07,145.39,63.21,95.0,92.0,2.37
373,tocopilla,cl,-22.09,-70.2,62.67,100.0,44.0,3.38
374,gra liyia,gr,35.02,25.68,53.6,58.0,0.0,10.29
375,labuhan,id,-2.54,115.51,81.66,87.0,64.0,2.93
378,olga,ru,34.11,-118.17,80.6,38.0,1.0,5.82
380,beyneu,kz,45.32,55.19,48.18,75.0,48.0,10.76
381,tyachiv,ua,48.01,23.57,50.0,100.0,68.0,2.59
382,mugur-aksy,ru,50.38,90.44,37.47,72.0,0.0,2.59
383,denizli,tr,37.77,29.09,37.4,74.0,0.0,2.04
384,jucas,br,-6.53,-39.53,72.57,85.0,68.0,3.94
385,okakarara,na,-20.59,17.46,50.07,67.0,0.0,3.27
386,whitehorse,ca,60.72,-135.06,41.0,56.0,90.0,16.11
387,oranjestad,aw,12.52,-70.03,80.6,83.0,20.0,19.46
388,atocha,bo,-1.22,-78.6,55.4,82.0,40.0,12.75
389,souris,ca,46.36,-62.25,33.8,69.0,5.0,6.93
390,necochea,ar,-38.55,-58.74,64.11,95.0,92.0,10.54
391,leshukonskoye,ru,64.9,45.76,19.2,82.0,36.0,2.93
392,nyrob,ru,60.74,56.73,40.71,100.0,92.0,17.02
393,narsaq,gl,60.91,-46.05,46.4,28.0,56.0,20.8
395,xique-xique,br,-10.82,-42.73,77.07,72.0,20.0,11.65
396,uddevalla,se,58.35,11.94,46.4,81.0,20.0,9.17
397,sao joao da barra,br,-21.64,-41.05,77.79,97.0,92.0,10.98
399,hambantota,lk,6.12,81.12,83.01,100.0,0.0,5.17
400,preston,us,53.76,-2.71,51.8,71.0,75.0,12.75
401,savannah bight,hn,16.45,-85.85,82.2,93.0,0.0,19.48
402,saint-francois,gp,46.42,3.91,51.8,93.0,0.0,2.82
403,balakhninskiy,ru,58.01,114.28,46.65,60.0,56.0,7.63
404,abu kamal,sy,34.45,40.92,55.83,50.0,0.0,10.42
405,touros,br,-5.2,-35.46,76.53,100.0,76.0,8.52
406,honningsvag,no,70.98,25.97,32.0,97.0,75.0,6.93
407,helong,cn,25.94,116.13,80.31,67.0,76.0,7.74
409,gilbues,br,-9.83,-45.34,82.2,49.0,24.0,9.08
410,barabai,id,-2.59,115.38,82.92,85.0,48.0,2.93
411,lhokseumawe,id,5.18,97.15,85.71,94.0,8.0,2.15
413,bintulu,my,3.17,113.03,86.0,74.0,75.0,3.36
414,souillac,mu,45.6,-0.6,57.2,93.0,90.0,6.93
416,sembakung,id,3.82,117.25,84.63,83.0,48.0,1.81
417,luba,gq,17.32,120.7,84.72,82.0,32.0,3.94
418,san cristobal,ec,-0.39,-78.55,55.4,82.0,40.0,12.75
419,pinawa,ca,50.15,-95.88,51.51,52.0,0.0,12.21
420,astana,kz,51.13,71.43,50.0,93.0,75.0,13.42
421,namibe,ao,-15.19,12.15,78.87,100.0,0.0,6.62
422,vila,vu,45.18,8.4,60.8,82.0,0.0,4.7
423,moussoro,td,13.64,16.49,68.52,51.0,0.0,2.71
424,victoria,sc,5.28,115.24,86.0,83.0,75.0,2.24
425,scottsbluff,us,41.87,-103.67,53.6,66.0,1.0,11.41
426,aykhal,ru,65.95,111.51,38.1,96.0,76.0,14.67
427,galesong,id,-5.32,119.37,87.8,58.0,20.0,6.93
428,hopkinsville,us,36.87,-87.49,57.2,87.0,90.0,16.11
429,punta alta,ar,-27.46,-55.82,78.8,83.0,0.0,3.36
430,hailey,us,43.52,-114.32,57.2,44.0,90.0,5.82
431,thanh hoa,vn,10.21,106.33,90.12,67.0,36.0,3.49
432,dikson,ru,73.51,80.55,15.51,100.0,88.0,21.5
433,carlsbad,us,50.23,12.87,55.4,82.0,0.0,3.36
434,tuktoyaktuk,ca,69.44,-133.03,-0.41,77.0,5.0,5.82
436,guerrero negro,mx,27.97,-114.04,59.61,89.0,0.0,6.4
438,mandan,us,46.83,-100.89,62.6,39.0,90.0,3.36
439,riyadh,sa,24.63,46.72,75.2,53.0,0.0,3.36
440,kutum,sd,14.2,24.66,67.26,20.0,0.0,9.98
441,katobu,id,-4.94,122.53,86.16,88.0,36.0,3.15
442,torbay,ca,47.66,-52.73,30.2,86.0,90.0,5.82
